1. Иногда мне в голову приходят такие мысли, что лучше никому о них не рассказывать.;1;1;
2. Я охотно принимаю участие во всех собраниях и других общественных мероприятиях.;2;1;
3. Часто какая-нибудь навязчивая мысль не дает мне заснуть.;3;;1
4. Временами у меня бывают приступы смеха или плача, с которыми я никак не могу справиться.;4;;1
5. Я сильно теряюсь, оказавшись неожиданно в центр внимания.;5;;1
6. Бывали случаи, что я не сдерживал своих обещаний.;6;1;
7. Критика, в том виде, в котором ее осуществляют многие люди, скорее выбивают меня из колеи, чем помогают.;7;;1
8. У меня часто болит голова.;8;;1
9. Если мое удачное замечание осталось незамеченным, я его не повторяю.;9;;1
10. Часто я склонен мысленно возвращаться к своим неприятностям, и мне трудно выбросить их из головы.;10;;1
11. Иногда я говорю неправду.;11;1;
12. В компании я чувствую себя неловко и из-за этого произвожу впечатление хуже, чем мог бы.;12;;1
13. Мне бывает трудно заснуть из-за беспокойства по поводу неудачи.;13;;1
14. Вставая утром, я часто чувствую себя усталым и разбитым.;14;;1
15. Раз в неделю или чаще я безо всякой видимой причины внезапно ощущаю жар во всем теле. ;15;;1
16. Мне бывает трудно изложить свои мысли словами, поэтому я редко включаюсь в беседу.;16;;1
17. Бывает, что меня беспокоит чувство вины или угрызения совести и-за какого-нибудь пустяка.;17;;1
18. Бывало, что я говорил о вещах, в которых не разбираюсь.;18;1;
19. Бывает, что я передаю слухи.;19;1;
20. У меня бывают очень странные и необычные внутренние переживания.;20;;1
21. Уходя из дома, я часто беспокоюсь о том, что нужно сделать сегодня.;21;;1
22. Бывает, что у меня без особой причины кружится голова.;22;;1
23. Бывает, что я откладываю на завтра то, что нужно сделать сегодня.;23;1;
24. Я смущаюсь вступить в спор даже по хорошо известному мне вопросу.;24;;1
25. Я чрезмерно чувствителен и легко раним.;25;;1
26. Бывало, что я невежливо разговаривал с родителями;26;1;
27. Иногда, когда я неважно себя чувствую, я бываю раздражительными.;27;1;
28. Мне, безусловно, не хватает уверенности в себе.;28;;1
29. Я часто упускаю возможность из-за своей внутренней нерешительности.;29;;1
30. Я довольно безразличен к тому, что со мной будет.;30;;1
31. Я всегда выполняю то, что мне говорят старшие.;31;1;
32. Я остро и длительно переживаю неудачи.;32;;1
33. Я склонен принимать все слишком близко к сердцу.;33;;1
34. Иногда я хвалю себя.;34;1;
35. Я считаю, что моя семейная жизнь такая же хорошая, как и у большинства моих знакомых.;35;1;
36. Я часто чувствую себя одиноким и никому ненужным.;36;;1
37. Временами я уверен в своей бесполезности.;37;;1
38. Мне часто говорят, что я вспыльчив.;38;;1
39. В игре я предпочитаю выигрывать.;39;1;
40. Мое настроение зависит от общества, в котором я нахожусь.;40;;1
41. Сон у меня обычно богат яркими сновидениями.;41;;1
